retroID,ID
breia101,1807
breit101,1808
bremh101,1809
brens101,1810
brenb001,1811
brena101,1812
brenb102,1813
brend101,1814
brenj102,1815
brenj101,1816
brent001,1817
brenw001,1818
brenb002,1819
brenl101,1820
brenb101,1821
bresc001,1822
bresr102,1823
brese101,1824
bresr101,1825
bretj101,1826
bretg001,1827
bretd101,1828
bretk101,1829
bretr001,1830
breum101,1831
brewb001,1832
brewc001,1833
brewj101,1834
brewj102,1835
brewm001,1836
brewr001,1837
brewt101,1838
brewt001,1839
brewj001,1840
brewc101,1841
brica101,1842
bricf101,1843
bricf102,1844
bricg101,1845
bricr101,1846
bridj101,1847
bridm101,1848
bridr101,1849
bridt101,1850
brida101,1851
brieb101,1852
brigb101,1853
brigc101,1854
brigd101,1855
brigg101,1856
brigj101,1857
brigj102,1858
brigh101,1859
brigj001,1860
brigr001,1861
brilg001,1862
briln101,1863
brilf101,1864
brilj101,1865
brinb101,1866
brinb001,1867
brinc101,1868
brine101,1869
brinl101,1870
briof101,1871
brisj001,1872
brisl101,1873
brisd801,1874
brisg101,1875
britb001,1876
brite001,1877
britj001,1878
britj002,1879
brits001,1880
britt001,1881
britc001,1882
britd001,1883
britg101,1884
britg102,1885
britj102,1886
britj103,1887
britj101,1888
britz001,1889
brizt001,1890
broaj101,1891
broal001,1892
broam001,1893
brobp101,1894
brocd001,1895
brocc001,1896
brocg001,1897
brocj101,1898
brocl101,1899
brocl102,1900
broct001,1901
brodb001,1902
brodm101,1903
brods101,1904
brodd101,1905
broge101,1906
brogr001,1907
brohj101,1908
broht001,1909
bronk101,1910
bronh101,1911
bronj001,1912
